x,y,yaw,s,km,kf
1, 0, 0, 1, 0, 0
 10, 0, -0.523599, 10.0081, -8.49319e-05, -0.299112
 15, 0, -0.523599, 15.0343, -1.47068e-05, -0.204405
 20, 0, -0.523599, 20.1047, -7.6267e-05, -0.153002
 25, 0, -0.523599, 25.1898, -0.000143954, -0.122867
 10, 2, -0.523599, 10.3992, 0.056279, -0.510068
 15, 2, -0.523599, 15.3634, 0.0254172, -0.3026
 20, 2, -0.523599, 20.4078, 0.0141835, -0.211483
 25, 2, -0.523599, 25.3263, 0.00942902, -0.162292
 10, 4, -0.523599, 11.2068, 0.102156, -0.636278
 15, 4, -0.523599, 15.9586, 0.0486084, -0.38298
 20, 4, -0.523599, 20.8382, 0.0281375, -0.260506
 25, 4, -0.523599, 25.7939, 0.0182028, -0.193673
 10, 6, -0.523599, 12.519, 0.129767, -0.699896
 15, 6, -0.523599, 16.9013, 0.0671758, -0.441503
 20, 6, -0.523599, 21.6024, 0.040036, -0.303757
 25, 6, -0.523599, 26.3909, 0.0265425, -0.223348
 10, 8, -0.523599, 14.2607, 0.141438, -0.719221
 15, 8, -0.523599, 18.1771, 0.0802282, -0.480119
 20, 8, -0.523599, 22.5432, 0.0504232, -0.333606
 25, 8, -0.523599, 27.1944, 0.0338499, -0.245011
 10, 10, -0.523599, 16.3451, 0.142529, -0.711952
 15, 10, -0.523599, 19.6964, 0.0890343, -0.496055
 20, 10, -0.523599, 23.8239, 0.0578381, -0.359484
 25, 10, -0.523599, 28.2669, 0.0399509, -0.270529
 10, 12, -0.523599, 18.6566, 0.138776, -0.683601
 15, 12, -0.523599, 21.544, 0.0927965, -0.505862
 20, 12, -0.523599, 25.2643, 0.063573, -0.373738
 25, 12, -0.523599, 29.3831, 0.0455409, -0.282875
 10, 14, -0.523599, 21.1236, 0.132993, -0.641871
 15, 14, -0.523599, 23.5167, 0.0947449, -0.497227
 20, 14, -0.523599, 26.923, 0.0673024, -0.381875
 25, 14, -0.523599, 30.7705, 0.0495686, -0.293972
 10, 16, -0.523599, 23.7738, 0.126082, -0.600257
 15, 16, -0.523599, 25.7365, 0.0939201, -0.487537
 20, 16, -0.523599, 28.7339, 0.0696767, -0.382799
 25, 16, -0.523599, 32.3784, 0.0523097, -0.302984
 10, 18, -0.523599, 26.557, 0.117848, -0.563337
 15, 18, -0.523599, 28.01, 0.0927066, -0.466677
 20, 18, -0.523599, 30.6463, 0.071185, -0.376607
 25, 18, -0.523599, 34.0715, 0.0544554, -0.30631
 10, 0, 0, 9.99466, -7.6367e-06, 0.000361357
 15, 0, 0, 14.9348, -8.35356e-06, 0.000122524
 20, 0, 0, 19.9805, -8.99294e-06, 9.32575e-05
 25, 0, 0, 24.9812, -1.3819e-05, 8.01357e-05
 10, 2, 0, 10.1881, 0.0580952, -0.254113
 15, 2, 0, 15.1424, 0.0263106, -0.105446
 20, 2, 0, 20.0688, 0.0149428, -0.0593947
 25, 2, 0, 25.0306, 0.00959043, -0.038067
 10, 4, 0, 10.9743, 0.104134, -0.424105
 15, 4, 0, 15.6249, 0.0502804, -0.196465
 20, 4, 0, 20.4971, 0.0289376, -0.1156
 25, 4, 0, 25.4281, 0.018701, -0.0754675
 10, 6, 0, 12.2327, 0.13284, -0.520916
 15, 6, 0, 16.5336, 0.069148, -0.272359
 20, 6, 0, 21.1261, 0.0415079, -0.163633
 25, 6, 0, 25.9101, 0.0273084, -0.108619
 10, 8, 0, 13.9429, 0.143899, -0.56283
 15, 8, 0, 17.7378, 0.0827308, -0.327009
 20, 8, 0, 22.0348, 0.051923, -0.2039
 25, 8, 0, 26.6758, 0.0348372, -0.139073
 10, 10, 0, 15.8024, 0.148185, -0.560371
 15, 10, 0, 19.1942, 0.0916106, -0.361069
 20, 10, 0, 23.2557, 0.0596835, -0.238609
 25, 10, 0, 27.6189, 0.0413042, -0.164799
 10, 12, 0, 17.9996, 0.144385, -0.553983
 15, 12, 0, 20.9151, 0.096127, -0.381906
 20, 12, 0, 24.63, 0.0655554, -0.262765
 25, 12, 0, 28.7088, 0.0467682, -0.185014
 10, 14, 0, 20.3231, 0.138488, -0.529774
 15, 14, 0, 22.779, 0.0982119, -0.386667
 20, 14, 0, 26.1042, 0.0700337, -0.275457
 25, 14, 0, 30.0401, 0.0508832, -0.202573
 10, 16, 0, 22.9573, 0.130791, -0.510212
 15, 16, 0, 24.8301, 0.0979613, -0.384884
 20, 16, 0, 27.823, 0.0724964, -0.285193
 25, 16, 0, 31.4772, 0.0541459, -0.214632
 10, 18, 0, 25.5491, 0.123094, -0.481564
 15, 18, 0, 27.0474, 0.0961206, -0.379284
 20, 18, 0, 29.7355, 0.0734544, -0.291775
 25, 18, 0, 33.0726, 0.0564226, -0.223475
 